problem_id,turn_id,local_annotation_sec,global_annotation_sec,correct,uncertain,matched,transcript_index,start_sec,end_sec,student_text,alignment_gap_sec,student_id,condition,problem59_offset_sec,uncertain_label,correct_label,gap_band
58,1,55.038,55.038,True,False,True,0.0,48.682,50.134,They're the same.,4.903999999999996,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,2,92.128,92.128,True,False,True,1.0,84.232,85.604,Vertically down.,6.524000000000001,pslc01-c1,c1,941.0,0,1,"(6.0, 10.0]"
58,3,127.131,127.131,True,True,True,2.0,120.784,122.087,Vertical down??,5.043999999999997,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
58,4,159.707,159.707,True,False,True,3.0,153.156,154.668,Yes. Straight down.,5.038999999999987,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,5,172.401,172.401,True,False,True,4.0,166.029,167.191,Nine point eight.,5.210000000000008,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,6,192.543,192.543,True,False,True,5.0,185.788,187.44,Gravity. Straight down.,5.103000000000009,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,7,211.091,211.091,True,True,True,6.0,204.667,206.078,Straight down.,5.013000000000005,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
58,8,240.624,240.624,True,False,True,7.0,234.552,236.024,Yes. Straight down.,4.599999999999994,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,9,252.309,252.309,True,False,True,8.0,246.583,247.645,Nine point eight.,4.663999999999987,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,10,281.592,281.592,True,True,True,9.0,274.688,276.63,Nine point eight meters??,4.961999999999989,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
58,11,308.764,308.764,True,True,True,10.0,301.933,304.236,Nine point eight meters per second.,4.52800000000002,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
58,12,349.077,349.077,True,False,True,11.0,342.113,344.396,Nine point eight plus nine point eight.,4.680999999999983,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,13,363.619,363.619,True,False,True,12.0,357.44100000000003,358.843,They're the same.,4.7760000000000105,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,14,377.32,377.32,True,False,True,13.0,371.127,372.208,Yes.,5.111999999999966,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,15,396.253,396.253,True,False,True,14.0,391.237,392.549,They're the same.,3.704000000000008,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,1,76.095,1017.095,True,False,True,15.0,1011.494,1012.785,They're the same.,4.310000000000059,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,2,114.81,1055.81,True,False,True,16.0,1046.514,1051.233,"Gravity, vertically down, and air resistance.",4.576999999999998,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,3,134.846,1075.846,True,False,True,17.0,1069.23,1070.952,Vertically down.,4.8940000000000055,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,4,148.932,1089.932,True,False,True,18.0,1084.59,1086.283,Yes. Vertically down.,3.6490000000001146,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,5,163.408,1104.408,False,False,True,19.0,1095.136,1098.14,Two point eight meters per second squared.,6.267999999999802,pslc01-c1,c1,941.0,0,0,"(6.0, 10.0]"
59,6,181.494,1122.494,True,False,True,20.0,1114.577,1117.972,"Two point eight. Er, nine point eight.",4.521999999999935,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,7,201.595,1142.595,True,False,True,21.0,1136.44,1138.583,"Gravity, vertically down.",4.011999999999944,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,8,220.064,1161.064,True,False,True,22.0,1155.278,1157.011,Vertically down.,4.053000000000111,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,9,234.742,1175.742,True,False,True,23.0,1170.223,1172.175,Yes. Vertically down.,3.5670000000000077,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,10,246.595,1187.595,True,False,True,24.0,1181.66,1183.032,Nine point eight.,4.563000000000102,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,11,276.351,1217.351,True,True,True,25.0,1211.045,1213.188,Nine point eight meters??,4.163000000000011,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
59,12,300.279,1241.279,True,False,True,26.0,1235.39,1237.633,Nine point eight meters per second.,3.645999999999958,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,13,318.216,1259.216,True,False,True,27.0,1253.407,1256.201,Nineteen point six meters per second.,3.0149999999998727,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,14,332.957,1273.957,True,True,True,28.0,1268.484,1269.895,They are the same??,4.061999999999898,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]"
59,15,345.915,1286.915,True,False,True,29.0,1282.293,1283.084,Yes.,3.830999999999904,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
59,16,365.76,1306.76,True,False,True,30.0,1301.728,1302.88,They are the same.,3.8799999999998818,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]"
58,1,105.756,105.756,False,True,True,0.0,98.959,100.291,I don't know.,5.465000000000003,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,2,153.076,153.076,False,True,True,1.0,146.079,147.46,Vertically up.,5.6159999999999854,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,3,188.15,188.15,True,True,True,2.0,182.115,183.007,Down.,5.143000000000001,pslc02-c2,c2,1172.0,1,1,"(3.0, 6.0]"
58,4,208.362,208.362,True,False,True,3.0,201.269,204.696,"Yes, there's an acceleration and it is going down.",3.665999999999997,pslc02-c2,c2,1172.0,0,1,"(3.0, 6.0]"
58,5,220.352,220.352,False,True,True,4.0,216.921,218.074,I don't know.,2.277999999999992,pslc02-c2,c2,1172.0,1,0,"(-0.001, 3.0]"
58,6,247.387,247.387,False,True,True,5.0,241.54,243.914,The same as the man's acceleration.,3.473000000000013,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,7,266.077,266.077,False,True,True,6.0,261.066,262.478,I don't know.,3.598999999999989,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,8,288.98,288.98,False,True,True,7.0,285.001,286.253,I don't know.,2.7270000000000323,pslc02-c2,c2,1172.0,1,0,"(-0.001, 3.0]"
58,9,336.132,336.132,False,False,True,8.0,329.555,331.108,Vertically down.,5.024000000000001,pslc02-c2,c2,1172.0,0,0,"(3.0, 6.0]"
58,10,357.106,357.106,True,False,True,9.0,352.831,353.722,Down.,3.3840000000000146,pslc02-c2,c2,1172.0,0,1,"(3.0, 6.0]"
58,11,374.511,374.511,True,False,True,10.0,369.898,370.789,Down.,3.722000000000037,pslc02-c2,c2,1172.0,0,1,"(3.0, 6.0]"
58,12,388.125,388.125,True,False,True,11.0,383.327,384.438,Vertically down.,3.687000000000012,pslc02-c2,c2,1172.0,0,1,"(3.0, 6.0]"
58,13,403.442,403.442,False,True,True,12.0,398.087,398.938,One.,4.504000000000019,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,14,446.539,446.539,False,True,True,13.0,439.003,441.927,Wh+what is the weight of the keys?,4.611999999999966,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,15,468.463,468.463,True,False,True,14.0,462.802,465.506,W equals M times G.,2.9570000000000505,pslc02-c2,c2,1172.0,0,1,"(-0.001, 3.0]"
58,16,527.901,527.901,False,True,True,15.0,523.18,524.151,Three meters.,3.75,pslc02-c2,c2,1172.0,1,0,"(3.0, 6.0]"
58,17,551.17,551.17,True,False,True,16.0,545.083,547.777,Nine point eight meters per second.,3.3929999999999154,pslc02-c2,c2,1172.0,0,1,"(3.0, 6.0]"
58,18,568.608,568.608,True,False,True,17.0,563.229,566.273,Nineteen point six meters per second squared.,2.3349999999999227,pslc02-c2,c2,1172.0,0,1,"(-0.001, 3.0]"
