student_id,split
pslc55-c1,train
pslc43-c1,train
pslc37-c1,train
pslc01-c1,train
pslc22-c1,train
pslc40-c1,train
pslc19-c1,train
pslc13-c1,train
pslc04-c1,train
pslc16-c1,train
pslc25-c1,train
pslc28-c1,train
pslc41-c2,train
pslc32-c2,train
pslc11-c2,train
pslc56-c2,train
pslc50-c2,train
pslc20-c2,train
pslc23-c2,train
pslc38-c2,train
pslc35-c2,train
pslc44-c2,train
pslc47-c2,train
pslc29-c2,train
pslc36-c3,train
pslc03-c3,train
pslc57-c3,train
pslc33-c3,train
pslc39-c3,train
pslc30-c3,train
pslc21-c3,train
pslc06-c3,train
pslc42-c3,train
pslc24-c3,train
pslc12-c3,train
pslc27-c3,train
pslc58-c1,validation
pslc07-c1,validation
pslc49-c1,validation
pslc34-c1,validation
pslc26-c2,validation
pslc05-c2,validation
pslc08-c2,validation
pslc53-c2,validation
pslc45-c3,validation
pslc51-c3,validation
pslc54-c3,validation
pslc09-c3,validation
pslc10-c1,test
pslc46-c1,test
pslc31-c1,test
pslc52-c1,test
pslc14-c2,test
pslc59-c2,test
pslc02-c2,test
pslc17-c2,test
pslc60-c3,test
pslc15-c3,test
pslc48-c3,test
pslc18-c3,test
