student_id,transcript_turns,annotations,matched_annotations,unmatched_annotations,unused_transcripts,problem59_offset_sec,mean_gap_sec,max_gap_sec
pslc01-c1,31,31,31,0,0,941.0,4.54438709677418,6.524000000000001
pslc02-c2,40,40,40,0,0,1172.0,3.806750000000009,6.870999999999981
pslc03-c3,34,32,30,2,4,1956.0,5.477033333333355,11.278999999999996
pslc04-c1,52,39,37,2,15,1536.0,4.64099999999999,9.975999999999885
pslc05-c2,31,30,30,0,1,1304.0,4.568333333333332,6.027000000000044
pslc06-c3,37,36,34,2,3,1330.0,5.143176470588238,10.615999999999985
pslc07-c1,40,39,38,1,2,1710.0,5.540368421052645,10.786000000000001
pslc08-c2,40,37,20,17,20,-41648.0,5.1652,12.477999999999952
pslc09-c3,37,34,30,4,7,1271.0,4.311266666666691,7.920000000000073
pslc10-c1,33,30,29,1,4,1372.0,5.030689655172398,8.757000000000062
pslc11-c2,33,32,32,0,1,872.0,5.605281250000005,11.1099999999999
pslc12-c3,32,31,30,1,2,1735.0,4.264133333333328,6.506000000000029
pslc13-c1,35,33,32,1,3,1536.0,4.193687500000009,7.828000000000003
pslc14-c2,38,36,35,1,3,1662.0,5.170742857142837,14.016999999999996
pslc15-c3,15,30,9,21,6,1895.0,5.501333333333337,11.81800000000004
pslc16-c1,31,39,27,12,4,1583.0,5.333000000000004,9.011999999999944
pslc17-c2,33,33,33,0,0,1275.0,4.7760606060606285,9.948999999999984
pslc18-c3,42,41,38,3,4,1726.0,5.102999999999991,10.677999999999997
pslc19-c1,32,33,30,3,2,1098.0,3.4979333333333305,7.46599999999998
pslc20-c2,38,38,36,2,2,946.0,5.112861111111105,13.398999999999887
pslc21-c3,37,36,32,4,5,1557.0,5.584968749999972,12.355000000000018
pslc22-c1,39,39,36,3,3,1425.0,3.458416666666663,6.890999999999991
pslc23-c2,33,33,30,3,3,1468.0,4.829633333333346,9.620999999999981
pslc24-c3,32,32,31,1,1,1014.0,4.177838709677438,13.171000000000006
pslc25-c1,39,39,39,0,0,1436.0,3.7738205128205164,6.966000000000008
pslc26-c2,36,36,33,3,3,981.0,2.4536060606060706,7.393000000000001
pslc27-c3,34,34,34,0,0,1602.0,10.758558823529418,14.78500000000001
pslc28-c1,37,37,35,2,2,1689.0,4.907999999999973,9.326999999999998
pslc29-c2,40,40,39,1,1,1458.0,3.9633846153846095,8.722999999999999
pslc30-c3,38,38,38,0,0,1195.0,4.73915789473683,6.429000000000002
pslc31-c1,36,35,35,0,1,1230.0,4.166857142857138,8.116
pslc32-c2,39,36,34,2,5,1052.0,4.040176470588237,8.738
pslc33-c3,36,37,35,2,1,1306.0,3.6183999999999936,5.845000000000027
pslc34-c1,48,47,46,1,2,1766.0,4.940043478260891,7.085999999999785
pslc35-c2,36,36,35,1,1,1349.0,3.486514285714262,6.913000000000011
pslc36-c3,43,42,42,0,1,2452.0,7.996261904761936,13.321000000000026
pslc37-c1,36,35,16,19,20,1396.0,5.496499999999987,14.982999999999947
pslc38-c2,34,34,34,0,0,863.0,4.41423529411763,7.605000000000018
pslc39-c3,40,40,40,0,0,1221.0,4.2210250000000045,11.781000000000006
pslc40-c1,38,35,33,2,5,1105.0,4.1911212121212165,7.954999999999984
pslc41-c2,30,30,30,0,0,1130.0,3.5635666666666554,6.8659999999999854
pslc42-c3,36,35,35,0,1,953.0,4.981885714285706,11.352999999999838
pslc43-c1,40,39,39,0,1,1082.0,3.147153846153851,7.684999999999945
pslc44-c2,35,35,35,0,0,856.0,4.394657142857157,10.634999999999991
pslc45-c3,33,33,32,1,1,986.0,3.8664687499999957,6.852000000000089
pslc46-c1,34,34,34,0,0,1268.0,5.878970588235298,10.313999999999965
pslc47-c2,31,31,28,3,3,1017.0,3.1010357142857106,5.6229999999999905
pslc48-c3,37,35,35,0,2,1530.0,5.622314285714283,10.594999999999914
pslc49-c1,33,33,32,1,1,973.0,3.6308749999999934,5.454999999999927
pslc50-c2,45,42,40,2,5,957.0,3.6442499999999933,13.945999999999913
pslc51-c3,40,39,35,4,5,1322.0,4.022714285714289,8.86999999999989
pslc52-c1,44,43,39,4,5,1365.0,5.7907692307692304,9.248000000000047
pslc53-c2,31,31,29,2,2,1076.0,3.699310344827591,9.330999999999989
pslc54-c3,35,34,34,0,1,1298.0,3.000264705882361,7.664000000000016
pslc55-c1,41,41,41,0,0,1428.0,5.049097560975618,9.01400000000001
pslc56-c2,43,42,41,1,2,1238.0,4.889975609756097,9.509999999999991
pslc57-c3,36,36,36,0,0,1388.0,5.4186111111111055,9.889999999999986
pslc58-c1,43,42,40,2,3,1434.0,5.836925000000021,10.171999999999912
pslc59-c2,37,36,36,0,1,1347.0,6.427305555555544,8.447999999999865
pslc60-c3,47,45,32,13,15,1575.0,1.6830937500000003,5.629000000000019
